As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Feb 28, 2018","2,402.68",120.78,--,"43,050,000.00"
"Feb 27, 2018","2,431.28",122.22,--,"43,100,000.00"
"Feb 26, 2018","2,463.19",123.82,--,"42,950,000.00"
"Feb 23, 2018","2,428.50",122.08,--,"42,950,000.00"
"Feb 22, 2018","2,390.39",120.17,--,"42,950,000.00"
"Feb 21, 2018","2,386.33",119.96,--,"43,550,000.00"
"Feb 20, 2018","2,398.97",120.60,--,"43,600,000.00"
"Feb 16, 2018","2,415.24",121.42,--,"43,750,000.00"
"Feb 15, 2018","2,414.16",121.37,--,"43,550,000.00"
"Feb 14, 2018","2,383.00",119.80,--,"43,550,000.00"
"Feb 13, 2018","2,353.54",118.32,--,"43,550,000.00"
"Feb 12, 2018","2,347.14",118.00,--,"43,850,000.00"
"Feb 09, 2018","2,314.06",116.34,--,"44,100,000.00"
"Feb 08, 2018","2,279.15",114.58,--,"44,000,000.00"
"Feb 07, 2018","2,369.11",119.10,--,"43,750,000.00"
"Feb 06, 2018","2,382.85",119.80,--,"43,850,000.00"
"Feb 05, 2018","2,337.36",117.50,--,"43,350,000.00"
"Feb 02, 2018","2,442.76",122.81,--,"43,000,000.00"
"Feb 01, 2018","2,497.32",125.55,--,"42,850,000.00"
"Jan 31, 2018","2,495.24",125.45,--,"42,400,000.00"
"Jan 30, 2018","2,496.26",125.50,--,"42,400,000.00"
"Jan 29, 2018","2,523.23",126.86,--,"42,500,000.00"
"Jan 26, 2018","2,539.82",127.69,--,"42,400,000.00"
"Jan 25, 2018","2,508.03",126.10,--,"42,250,000.00"
"Jan 24, 2018","2,505.05",125.95,--,"42,150,000.00"
"Jan 23, 2018","2,506.90",126.04,--,"42,150,000.00"
"Jan 22, 2018","2,505.23",125.96,--,"42,200,000.00"
"Jan 19, 2018","2,483.24",124.85,--,"42,200,000.00"
"Jan 18, 2018","2,474.96",124.44,--,"42,150,000.00"
"Jan 17, 2018","2,478.21",124.60,--,"42,300,000.00"
"Jan 16, 2018","2,455.12",123.44,--,"42,300,000.00"
"Jan 12, 2018","2,460.60",123.72,--,"42,500,000.00"
"Jan 11, 2018","2,443.21",122.85,--,"42,500,000.00"
"Jan 10, 2018","2,427.26",122.05,--,"42,400,000.00"
"Jan 09, 2018","2,427.59",122.06,--,"42,400,000.00"
"Jan 08, 2018","2,422.54",121.81,--,"42,400,000.00"
"Jan 05, 2018","2,421.41",121.76,--,"42,350,000.00"
"Jan 04, 2018","2,402.89",120.83,--,"42,400,000.00"
"Jan 03, 2018","2,391.16",120.24,--,"42,500,000.00"
"Jan 02, 2018","2,376.85",119.52,--,"42,500,000.00"
"Dec 29, 2017","2,355.98",118.47,--,"42,500,000.00"
"Dec 28, 2017","2,368.21",119.09,--,"42,500,000.00"
"Dec 27, 2017","2,364.79",118.92,--,"42,650,000.00"
"Dec 26, 2017","2,362.63",118.81,--,"42,650,000.00"
"Dec 22, 2017","2,367.24",119.04,--,"42,650,000.00"
"Dec 21, 2017","2,369.98",119.18,--,"42,700,000.00"
"Dec 20, 2017","2,362.38",118.80,--,"42,700,000.00"
"Dec 19, 2017","2,365.31",118.94,0.57,"42,550,000.00"
"Dec 18, 2017","2,373.13",119.91,--,"42,600,000.00"
"Dec 15, 2017","2,362.11",119.35,--,"42,450,000.00"
"Dec 14, 2017","2,341.95",118.33,--,"42,450,000.00"
"Dec 13, 2017","2,348.98",118.69,--,"42,350,000.00"
"Dec 12, 2017","2,349.43",118.71,--,"42,300,000.00"
"Dec 11, 2017","2,341.43",118.31,--,"42,050,000.00"
"Dec 08, 2017","2,330.22",117.75,--,"41,900,000.00"
"Dec 07, 2017","2,317.51",117.10,--,"41,900,000.00"
"Dec 06, 2017","2,313.11",116.88,--,"41,800,000.00"
"Dec 05, 2017","2,313.34",116.89,--,"41,800,000.00"
"Dec 04, 2017","2,319.88",117.23,--,"42,150,000.00"
"Dec 01, 2017","2,320.29",117.25,--,"42,150,000.00"
"Nov 30, 2017","2,323.39",117.40,--,"42,150,000.00"
"Nov 29, 2017","2,303.46",116.40,--,"42,750,000.00"
"Nov 28, 2017","2,303.78",116.42,--,"42,450,000.00"
"Nov 27, 2017","2,280.85",115.26,--,"42,000,000.00"
"Nov 24, 2017","2,280.23",115.23,--,"42,000,000.00"
"Nov 22, 2017","2,275.30",114.98,--,"42,000,000.00"
"Nov 21, 2017","2,275.81",115.01,--,"42,100,000.00"
"Nov 20, 2017","2,258.62",114.14,--,"42,100,000.00"
"Nov 17, 2017","2,256.92",114.06,--,"42,100,000.00"
"Nov 16, 2017","2,265.90",114.51,--,"42,100,000.00"
"Nov 15, 2017","2,246.69",113.54,--,"41,950,000.00"
"Nov 14, 2017","2,257.91",114.11,--,"41,950,000.00"
"Nov 13, 2017","2,265.68",114.50,--,"41,800,000.00"
"Nov 10, 2017","2,264.83",114.46,--,"41,800,000.00"
"Nov 09, 2017","2,266.93",114.57,--,"41,800,000.00"
"Nov 08, 2017","2,272.95",114.87,--,"41,900,000.00"
"Nov 07, 2017","2,270.39",114.74,--,"41,900,000.00"
"Nov 06, 2017","2,269.65",114.71,--,"41,900,000.00"
"Nov 03, 2017","2,268.72",114.66,--,"41,900,000.00"
"Nov 02, 2017","2,260.70",114.26,--,"41,900,000.00"
"Nov 01, 2017","2,261.74",114.31,--,"41,950,000.00"
"Oct 31, 2017","2,255.19",113.98,--,"41,950,000.00"
"Oct 30, 2017","2,255.02",113.97,--,"41,950,000.00"
"Oct 27, 2017","2,261.41",114.30,--,"43,150,000.00"
"Oct 26, 2017","2,236.40",113.03,--,"43,150,000.00"
"Oct 25, 2017","2,236.33",113.03,--,"43,150,000.00"
"Oct 24, 2017","2,245.02",113.47,--,"42,500,000.00"
"Oct 23, 2017","2,241.64",113.30,--,"42,500,000.00"
"Oct 20, 2017","2,251.69",113.81,--,"42,500,000.00"
"Oct 19, 2017","2,242.45",113.34,--,"43,550,000.00"
"Oct 18, 2017","2,244.27",113.44,--,"43,550,000.00"
"Oct 17, 2017","2,242.54",113.35,--,"43,500,000.00"
