iShares S&P 100 ETF,,,,,,,,,,,
Inception Date,"Oct 23, 2000",,,,,,,,,,
Fund Holdings as of,"Sep 29, 2017",,,,,,,,,,
Total Net Assets,"4,888,447,512.89",,,,,,,,,,
Shares Outstanding,"43,900,000.00",,,,,,,,,,
Stock,-,,,,,,,,,,
Bond,-,,,,,,,,,,
Cash,-,,,,,,,,,,
Other,-,,,,,,,,,,
 ,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
AAPL,APPLE INC,Equity,5.84,154.12,"1,841,079.00","283,747,095.48","283,747,095.48",Information Technology,2046251,US0378331005,NASDAQ
MSFT,MICROSOFT CORP,Equity,4.21,74.49,"2,745,364.00","204,502,164.36","204,502,164.36",Information Technology,2588173,US5949181045,NASDAQ
FB,FACEBOOK CLASS A INC,Equity,2.97,170.87,"844,873.00","144,363,449.51","144,363,449.51",Information Technology,B7TL820,US30303M1027,NASDAQ
AMZN,AMAZON COM INC,Equity,2.81,961.35,"142,116.00","136,623,216.60","136,623,216.60",Consumer Discretionary,2000019,US0231351067,NASDAQ
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,2.59,183.32,"685,838.00","125,727,822.16","125,727,822.16",Financials,2073390,US0846707026,New York Stock Exchange Inc.
JNJ,JOHNSON & JOHNSON,Equity,2.56,130.01,"956,676.00","124,377,446.76","124,377,446.76",Health Care,2475833,US4781601046,New York Stock Exchange Inc.
XOM,EXXON MOBIL CORP,Equity,2.55,81.98,"1,510,319.00","123,815,951.62","123,815,951.62",Energy,2326618,US30231G1022,New York Stock Exchange Inc.
JPM,JPMORGAN CHASE & CO,Equity,2.46,95.51,"1,254,288.00","119,797,046.88","119,797,046.88",Financials,2190385,US46625H1005,New York Stock Exchange Inc.
GOOGL,ALPHABET INC CLASS A,Equity,2.13,973.72,"106,232.00","103,440,223.04","103,440,223.04",Information Technology,BYVY8G0,US02079K3059,NASDAQ
GOOG,ALPHABET INC CLASS C,Equity,2.12,959.11,"107,596.00","103,196,399.56","103,196,399.56",Information Technology,BYY88Y7,US02079K1079,NASDAQ
BAC,BANK OF AMERICA CORP,Equity,1.82,25.34,"3,497,377.00","88,623,533.18","88,623,533.18",Financials,2295677,US0605051046,New York Stock Exchange Inc.
WFC,WELLS FARGO,Equity,1.81,55.15,"1,592,401.00","87,820,915.15","87,820,915.15",Financials,2649100,US9497461015,New York Stock Exchange Inc.
T,AT&T INC,Equity,1.76,39.17,"2,188,524.00","85,724,485.08","85,724,485.08",Telecommunications,2831811,US00206R1023,New York Stock Exchange Inc.
PG,PROCTER & GAMBLE,Equity,1.7,90.98,"908,921.00","82,693,632.58","82,693,632.58",Consumer Staples,2704407,US7427181091,New York Stock Exchange Inc.
CVX,CHEVRON CORP,Equity,1.63,117.5,"675,447.00","79,365,022.50","79,365,022.50",Energy,2838555,US1667641005,New York Stock Exchange Inc.
PFE,PFIZER INC,Equity,1.56,35.7,"2,127,159.00","75,939,576.30","75,939,576.30",Health Care,2684703,US7170811035,New York Stock Exchange Inc.
GE,GENERAL ELECTRIC,Equity,1.54,24.18,"3,086,013.00","74,619,794.34","74,619,794.34",Industrials,2380498,US3696041033,New York Stock Exchange Inc.
VZ,VERIZON COMMUNICATIONS INC,Equity,1.48,49.49,"1,454,036.00","71,960,241.64","71,960,241.64",Telecommunications,2090571,US92343V1044,New York Stock Exchange Inc.
C,CITIGROUP INC,Equity,1.45,72.74,"971,136.00","70,640,432.64","70,640,432.64",Financials,2297907,US1729674242,New York Stock Exchange Inc.
HD,HOME DEPOT INC,Equity,1.41,163.56,"420,177.00","68,724,150.12","68,724,150.12",Consumer Discretionary,2434209,US4370761029,New York Stock Exchange Inc.
V,VISA INC CLASS A,Equity,1.41,105.24,"652,055.00","68,622,268.20","68,622,268.20",Information Technology,B2PZN04,US92826C8394,New York Stock Exchange Inc.
UNH,UNITEDHEALTH GROUP INC,Equity,1.39,195.85,"344,623.00","67,494,414.55","67,494,414.55",Health Care,2917766,US91324P1021,New York Stock Exchange Inc.
CMCSA,COMCAST A CORP,Equity,1.33,38.48,"1,676,652.00","64,517,568.96","64,517,568.96",Consumer Discretionary,2044545,US20030N1019,NASDAQ
INTC,INTEL CORPORATION CORP,Equity,1.31,38.08,"1,674,895.00","63,780,001.60","63,780,001.60",Information Technology,2463247,US4581401001,NASDAQ
MRK,MERCK & CO INC,Equity,1.28,64.03,"974,913.00","62,423,679.39","62,423,679.39",Health Care,2778844,US58933Y1055,New York Stock Exchange Inc.
KO,COCA-COLA,Equity,1.27,45.01,"1,368,284.00","61,586,462.84","61,586,462.84",Consumer Staples,2206657,US1912161007,New York Stock Exchange Inc.
PM,PHILIP MORRIS INTERNATIONAL INC,Equity,1.26,111.01,"553,599.00","61,455,024.99","61,455,024.99",Consumer Staples,B2PKRQ3,US7181721090,New York Stock Exchange Inc.
