iShares S&P 100 ETF,,,,,,,,,,,
Inception Date,"Oct 23, 2000",,,,,,,,,,
Fund Holdings as of,"Oct 31, 2017",,,,,,,,,,
Total Net Assets,"4,781,400,023.48",,,,,,,,,,
Shares Outstanding,"41,950,000.00",,,,,,,,,,
Stock,-,,,,,,,,,,
Bond,-,,,,,,,,,,
Cash,-,,,,,,,,,,
Other,-,,,,,,,,,,
 ,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
AAPL,APPLE INC,Equity,6.26,169.04,"1,769,373.00","299,094,811.92","299,094,811.92",Information Technology,2046251,US0378331005,NASDAQ
MSFT,MICROSOFT CORP,Equity,4.59,83.18,"2,638,434.00","219,464,940.12","219,464,940.12",Information Technology,2588173,US5949181045,NASDAQ
AMZN,AMAZON COM INC,Equity,3.16,"1,105.28","136,574.00","150,952,510.72","150,952,510.72",Consumer Discretionary,2000019,US0231351067,NASDAQ
FB,FACEBOOK CLASS A INC,Equity,3.06,180.06,"811,961.00","146,201,697.66","146,201,697.66",Information Technology,B7TL820,US30303M1027,NASDAQ
JNJ,JOHNSON & JOHNSON,Equity,2.68,139.41,"919,412.00","128,175,226.92","128,175,226.92",Health Care,2475833,US4781601046,New York Stock Exchange Inc.
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,2.58,186.94,"659,114.00","123,214,771.16","123,214,771.16",Financials,2073390,US0846707026,New York Stock Exchange Inc.
JPM,JPMORGAN CHASE & CO,Equity,2.54,100.61,"1,205,430.00","121,278,312.30","121,278,312.30",Financials,2190385,US46625H1005,New York Stock Exchange Inc.
XOM,EXXON MOBIL CORP,Equity,2.53,83.35,"1,451,499.00","120,982,441.65","120,982,441.65",Energy,2326618,US30231G1022,New York Stock Exchange Inc.
GOOGL,ALPHABET INC CLASS A,Equity,2.21,"1,033.04","102,084.00","105,456,855.36","105,456,855.36",Information Technology,BYVY8G0,US02079K3059,NASDAQ
GOOG,ALPHABET INC CLASS C,Equity,2.2,"1,016.64","103,414.00","105,134,808.96","105,134,808.96",Information Technology,BYY88Y7,US02079K1079,NASDAQ
BAC,BANK OF AMERICA CORP,Equity,1.93,27.39,"3,361,173.00","92,062,528.47","92,062,528.47",Financials,2295677,US0605051046,New York Stock Exchange Inc.
WFC,WELLS FARGO,Equity,1.8,56.14,"1,530,385.00","85,915,813.90","85,915,813.90",Financials,2649100,US9497461015,New York Stock Exchange Inc.
PG,PROCTER & GAMBLE,Equity,1.58,86.34,"873,527.00","75,420,321.18","75,420,321.18",Consumer Staples,2704407,US7427181091,New York Stock Exchange Inc.
CVX,CHEVRON CORP,Equity,1.57,115.89,"649,131.00","75,227,791.59","75,227,791.59",Energy,2838555,US1667641005,New York Stock Exchange Inc.
INTC,INTEL CORPORATION CORP,Equity,1.53,45.49,"1,609,649.00","73,222,933.01","73,222,933.01",Information Technology,2463247,US4581401001,NASDAQ
PFE,PFIZER INC,Equity,1.5,35.06,"2,044,301.00","71,673,193.06","71,673,193.06",Health Care,2684703,US7170811035,New York Stock Exchange Inc.
T,AT&T INC,Equity,1.48,33.65,"2,103,286.00","70,775,573.90","70,775,573.90",Telecommunications,2831811,US00206R1023,New York Stock Exchange Inc.
UNH,UNITEDHEALTH GROUP INC,Equity,1.46,210.22,"331,193.00","69,623,392.46","69,623,392.46",Health Care,2917766,US91324P1021,New York Stock Exchange Inc.
V,VISA INC CLASS A,Equity,1.44,109.98,"626,657.00","68,919,736.86","68,919,736.86",Information Technology,B2PZN04,US92826C8394,New York Stock Exchange Inc.
C,CITIGROUP INC,Equity,1.43,73.5,"933,328.00","68,599,608.00","68,599,608.00",Financials,2297907,US1729674242,New York Stock Exchange Inc.
HD,HOME DEPOT INC,Equity,1.4,165.78,"403,823.00","66,945,776.94","66,945,776.94",Consumer Discretionary,2434209,US4370761029,New York Stock Exchange Inc.
VZ,VERIZON COMMUNICATIONS INC,Equity,1.4,47.87,"1,397,392.00","66,893,155.04","66,893,155.04",Telecommunications,2090571,US92343V1044,New York Stock Exchange Inc.
KO,COCA-COLA,Equity,1.26,45.98,"1,315,006.00","60,463,975.88","60,463,975.88",Consumer Staples,2206657,US1912161007,New York Stock Exchange Inc.
GE,GENERAL ELECTRIC,Equity,1.25,20.16,"2,965,823.00","59,790,991.68","59,790,991.68",Industrials,2380498,US3696041033,New York Stock Exchange Inc.
CSCO,CISCO SYSTEMS INC,Equity,1.22,34.15,"1,712,814.00","58,492,598.10","58,492,598.10",Information Technology,2198163,US17275R1023,NASDAQ
CMCSA,COMCAST A CORP,Equity,1.21,36.03,"1,611,338.00","58,056,508.14","58,056,508.14",Consumer Discretionary,2044545,US20030N1019,NASDAQ
DWDP,DOWDUPONT INC,Equity,1.21,72.31,"799,248.00","57,793,622.88","57,793,622.88",Materials,BYP66M4,US26078J1007,New York Stock Exchange Inc.
